Date,Open,High,Low,Close
04/30/2024,"5,103.78","5,110.83","5,035.31","5,035.69"
04/29/2024,"5,114.13","5,123.49","5,088.65","5,116.17"
04/26/2024,"5,084.65","5,114.62","5,073.14","5,099.96"
04/25/2024,"5,019.88","5,057.75","4,990.58","5,048.42"
04/24/2024,"5,084.86","5,089.48","5,047.02","5,071.63"
04/23/2024,"5,028.85","5,076.12","5,027.96","5,070.55"
04/22/2024,"4,987.33","5,038.84","4,969.40","5,010.60"
04/19/2024,"5,005.44","5,019.02","4,953.56","4,967.23"
04/18/2024,"5,031.52","5,056.66","5,001.89","5,011.12"
04/17/2024,"5,068.97","5,077.96","5,007.25","5,022.21"
04/16/2024,"5,064.59","5,079.84","5,039.83","5,051.41"
04/15/2024,"5,149.67","5,168.43","5,052.47","5,061.82"
04/12/2024,"5,171.51","5,175.03","5,107.94","5,123.41"
04/11/2024,"5,172.95","5,211.78","5,138.77","5,199.06"
04/10/2024,"5,167.88","5,178.43","5,138.70","5,160.64"
04/09/2024,"5,217.03","5,224.81","5,160.78","5,209.91"
04/08/2024,"5,211.37","5,219.57","5,197.35","5,202.39"
04/05/2024,"5,158.95","5,222.18","5,157.21","5,204.34"
04/04/2024,"5,244.05","5,256.59","5,146.06","5,147.21"
04/03/2024,"5,194.37","5,228.75","5,194.37","5,211.49"
04/02/2024,"5,204.29","5,208.34","5,184.05","5,205.81"
04/01/2024,"5,257.97","5,263.95","5,229.20","5,243.77"
03/28/2024,"5,248.03","5,264.85","5,245.82","5,254.35"
03/27/2024,"5,226.31","5,249.26","5,213.92","5,248.49"
03/26/2024,"5,228.85","5,235.16","5,203.42","5,203.58"
03/25/2024,"5,219.52","5,229.09","5,216.09","5,218.19"
03/22/2024,"5,242.48","5,246.09","5,229.87","5,234.18"
03/21/2024,"5,253.43","5,261.10","5,240.66","5,241.53"
03/20/2024,"5,181.69","5,226.19","5,171.55","5,224.62"
03/19/2024,"5,139.09","5,180.31","5,131.59","5,178.51"
03/18/2024,"5,154.77","5,175.60","5,145.47","5,149.42"
03/15/2024,"5,123.31","5,136.86","5,104.35","5,117.09"
03/14/2024,"5,175.14","5,176.85","5,123.30","5,150.48"
03/13/2024,"5,173.49","5,179.14","5,151.88","5,165.31"
